ProdutoID;Nome;Descrição;Preço;Estoque;CategoriaID;FornecedorID
111;Produto 111;capa para celular 111;799.75;81;5;4
112;Produto 112;capa para celular 112;969.28;422;4;2
113;Produto 113;capa para celular 113;230.29;417;6;4
114;Produto 114;capa para celular 114;791.76;479;4;1
115;Produto 115;capa para celular 115;453.01;357;1;3
116;Produto 116;capa para celular 116;646.01;357;9;3
117;Produto 117;capa para celular 117;493.6;157;2;4
118;Produto 118;capa para celular 118;107.42;351;5;1
119;Produto 119;capa para celular 119;695.93;34;5;3
120;Produto 120;capa para celular 120;778.58;23;4;2
121;Produto 121;capa para celular 121;479.34;200;7;1
122;Produto 122;capa para celular 122;22.22;166;8;3
123;Produto 123;capa para celular 123;760.07;328;2;5
124;Produto 124;capa para celular 124;467.94;404;5;3
125;Produto 125;capa para celular 125;115.07;393;8;2
126;Produto 126;capa para celular 126;716.23;204;1;5
127;Produto 127;capa para celular 127;378.73;175;2;3
128;Produto 128;capa para celular 128;68.91;362;3;4
129;Produto 129;capa para celular 129;738.95;141;9;1
130;Produto 130;capa para celular 130;259.18;52;4;1
131;Produto 131;capa para celular 131;885.87;364;8;2
132;Produto 132;capa para celular 132;695.76;457;4;2
133;Produto 133;capa para celular 133;340.09;316;2;2
134;Produto 134;capa para celular 134;857.88;182;8;2
135;Produto 135;capa para celular 135;526.91;176;6;1
136;Produto 136;capa para celular 136;206.2;494;6;3
137;Produto 137;capa para celular 137;641.85;202;10;3
138;Produto 138;capa para celular 138;524.87;324;9;1
139;Produto 139;capa para celular 139;67.53;187;10;5
140;Produto 140;capa para celular 140;340.98;358;1;3
141;Produto 141;capa para celular 141;773.83;34;4;2
142;Produto 142;capa para celular 142;211.8;452;2;3
143;Produto 143;capa para celular 143;155.86;386;3;2
144;Produto 144;capa para celular 144;229.4;318;5;2
145;Produto 145;capa para celular 145;122.07;115;4;5
146;Produto 146;capa para celular 146;332.33;321;7;1
147;Produto 147;capa para celular 147;793.12;4;6;1
148;Produto 148;capa para celular 148;63.27;211;4;3
149;Produto 149;capa para celular 149;343.47;489;4;2
150;Produto 150;capa para celular 150;114.35;307;2;3
151;Produto 151;capa para celular 151;120.33;195;2;3
152;Produto 152;capa para celular 152;393.62;31;10;2
153;Produto 153;capa para celular 153;932.87;414;6;4
154;Produto 154;capa para celular 154;548.71;93;4;5
155;Produto 155;capa para celular 155;253.75;12;8;4
156;Produto 156;capa para celular 156;584.16;149;7;3
157;Produto 157;capa para celular 157;956.01;255;10;1
158;Produto 158;capa para celular 158;386.95;248;4;4
159;Produto 159;capa para celular 159;827.05;178;3;1
160;Produto 160;capa para celular 160;453.31;286;9;1
161;Produto 161;capa para celular 161;730.3;136;10;1
162;Produto 162;capa para celular 162;56.8;159;6;2
163;Produto 163;capa para celular 163;885.07;307;4;1
164;Produto 164;capa para celular 164;972.47;108;9;5
165;Produto 165;capa para celular 165;135.65;354;1;4
166;Produto 166;capa para celular 166;277.68;453;6;4
167;Produto 167;capa para celular 167;435.83;81;9;2
168;Produto 168;capa para celular 168;55.66;234;9;4
169;Produto 169;capa para celular 169;862.3;478;9;4
170;Produto 170;capa para celular 170;584.47;164;7;1
171;Produto 171;capa para celular 171;256.43;491;3;1
172;Produto 172;capa para celular 172;646.26;75;7;2
173;Produto 173;capa para celular 173;365.96;63;7;3
174;Produto 174;capa para celular 174;134.02;448;9;3
175;Produto 175;capa para celular 175;683.99;61;2;5
176;Produto 176;capa para celular 176;820.53;335;7;5
177;Produto 177;capa para celular 177;63.06;390;10;2
178;Produto 178;capa para celular 178;221.56;467;10;1
179;Produto 179;capa para celular 179;383.73;188;5;2
180;Produto 180;capa para celular 180;933.26;215;7;5
181;Produto 181;capa para celular 181;309.57;34;2;1
182;Produto 182;capa para celular 182;823.43;207;1;3
183;Produto 183;capa para celular 183;825.19;279;5;4
184;Produto 184;capa para celular 184;200.78;59;10;3
185;Produto 185;capa para celular 185;194.51;146;4;5
186;Produto 186;capa para celular 186;638.52;165;5;5
187;Produto 187;capa para celular 187;191.43;3;1;1
188;Produto 188;capa para celular 188;689.83;87;10;1
189;Produto 189;capa para celular 189;914.64;256;10;3
190;Produto 190;capa para celular 190;633.57;273;4;3
191;Produto 191;capa para celular 191;709.99;232;6;1
192;Produto 192;capa para celular 192;171.38;15;1;5
193;Produto 193;capa para celular 193;59.65;339;1;1
194;Produto 194;capa para celular 194;456.24;450;7;3
195;Produto 195;capa para celular 195;644.41;58;8;1
196;Produto 196;capa para celular 196;963.99;320;5;4
197;Produto 197;capa para celular 197;489.41;485;2;1
198;Produto 198;capa para celular 198;802.68;307;1;4
199;Produto 199;capa para celular 199;55.21;412;7;3
200;Produto 200;capa para celular 200;784.73;302;10;3
201;Produto 201;capa para celular 201;671.16;339;7;3
202;Produto 202;capa para celular 202;751.65;66;2;4
203;Produto 203;capa para celular 203;88.41;442;8;5
204;Produto 204;capa para celular 204;507.23;8;7;2
205;Produto 205;capa para celular 205;130.52;212;10;2
206;Produto 206;capa para celular 206;67.81;442;1;4
207;Produto 207;capa para celular 207;432.1;326;3;5
208;Produto 208;capa para celular 208;196.1;60;1;3
209;Produto 209;capa para celular 209;546.87;436;5;5
210;Produto 210;capa para celular 210;374.03;78;4;3
211;Produto 211;capa para celular 211;966.55;24;7;1
212;Produto 212;capa para celular 212;896.34;343;4;1
213;Produto 213;capa para celular 213;357.1;211;2;5
214;Produto 214;capa para celular 214;163.64;244;8;4
215;Produto 215;capa para celular 215;48.01;438;4;1
216;Produto 216;capa para celular 216;209.72;135;9;5
217;Produto 217;capa para celular 217;825.37;412;2;5
218;Produto 218;capa para celular 218;529.13;328;2;4
219;Produto 219;capa para celular 219;839.89;451;3;3
220;Produto 220;capa para celular 220;253.43;23;1;2
221;Produto 221;capa para celular 221;611.58;474;4;1
222;Produto 222;capa para celular 222;682.86;233;9;4
223;Produto 223;capa para celular 223;539.63;219;1;4
224;Produto 224;capa para celular 224;803.14;350;7;5
225;Produto 225;capa para celular 225;152.8;459;5;3
226;Produto 226;capa para celular 226;352.49;83;5;4
227;Produto 227;capa para celular 227;385.73;225;9;2
228;Produto 228;capa para celular 228;955.35;157;5;5
229;Produto 229;capa para celular 229;365.16;407;8;2
230;Produto 230;capa para celular 230;890.07;440;9;5
231;Produto 231;capa para celular 231;661.47;21;3;5
232;Produto 232;capa para celular 232;796.36;370;7;1
233;Produto 233;capa para celular 233;485.68;125;9;1
234;Produto 234;capa para celular 234;41.16;488;10;1
235;Produto 235;capa para celular 235;640.06;185;8;1
236;Produto 236;capa para celular 236;778.59;316;2;5
237;Produto 237;capa para celular 237;222.57;2;10;3
238;Produto 238;capa para celular 238;780.2;230;8;4
239;Produto 239;capa para celular 239;295.71;245;9;5
240;Produto 240;capa para celular 240;457.54;492;3;3
241;Produto 241;capa para celular 241;104.7;438;5;3
242;Produto 242;capa para celular 242;999.62;287;7;1
243;Produto 243;capa para celular 243;268.92;430;9;4
244;Produto 244;capa para celular 244;833.28;100;9;1
245;Produto 245;capa para celular 245;714.75;100;7;2
246;Produto 246;capa para celular 246;125.07;218;5;4
247;Produto 247;capa para celular 247;483.23;80;3;4
248;Produto 248;capa para celular 248;153.55;56;2;5
249;Produto 249;capa para celular 249;794.67;64;10;1
250;Produto 250;capa para celular 250;389.06;190;7;1
251;Produto 251;capa para celular 251;661.47;303;3;4
252;Produto 252;capa para celular 252;249.73;299;7;4
253;Produto 253;capa para celular 253;442.82;12;1;5
254;Produto 254;capa para celular 254;110.13;377;4;4
255;Produto 255;capa para celular 255;235.21;127;10;4
256;Produto 256;capa para celular 256;506.35;143;5;5
257;Produto 257;capa para celular 257;140.29;204;10;3
258;Produto 258;capa para celular 258;919.99;326;5;1
259;Produto 259;capa para celular 259;524.24;245;9;4
260;Produto 260;capa para celular 260;703.17;369;8;4
261;Produto 261;capa para celular 261;49.37;255;2;3
262;Produto 262;capa para celular 262;650.69;378;6;4
263;Produto 263;capa para celular 263;996.59;429;6;1
264;Produto 264;capa para celular 264;270.58;249;10;1
265;Produto 265;capa para celular 265;645.88;126;3;3
266;Produto 266;capa para celular 266;121.9;48;3;2
267;Produto 267;capa para celular 267;948.38;178;2;3
268;Produto 268;capa para celular 268;115.89;440;7;1
269;Produto 269;capa para celular 269;432.54;367;6;3
270;Produto 270;capa para celular 270;953.58;273;2;1
271;Produto 271;capa para celular 271;352.38;30;8;2
272;Produto 272;capa para celular 272;784.11;210;5;1
273;Produto 273;capa para celular 273;319.22;423;6;4
274;Produto 274;capa para celular 274;607.4;78;7;2
275;Produto 275;capa para celular 275;955.61;232;8;5
276;Produto 276;capa para celular 276;637.23;373;7;4
277;Produto 277;capa para celular 277;952.93;375;5;5
278;Produto 278;capa para celular 278;495.54;106;1;3
279;Produto 279;capa para celular 279;737.01;311;8;3
280;Produto 280;capa para celular 280;348.63;363;5;3
281;Produto 281;capa para celular 281;411.54;373;1;3
282;Produto 282;capa para celular 282;681.87;188;3;4
283;Produto 283;capa para celular 283;99.54;356;3;5
284;Produto 284;capa para celular 284;978.59;157;4;3
285;Produto 285;capa para celular 285;756.65;414;8;3
286;Produto 286;capa para celular 286;964.51;136;3;5
287;Produto 287;capa para celular 287;270.42;58;10;5
288;Produto 288;capa para celular 288;73.92;413;10;2
289;Produto 289;capa para celular 289;285.22;315;2;3
290;Produto 290;capa para celular 290;587.35;245;6;2
291;Produto 291;capa para celular 291;470.58;496;5;2
292;Produto 292;capa para celular 292;292.91;9;2;3
293;Produto 293;capa para celular 293;913.56;492;1;1
294;Produto 294;capa para celular 294;390.95;309;10;2
295;Produto 295;capa para celular 295;511.86;487;2;1
296;Produto 296;capa para celular 296;178.85;137;3;4
297;Produto 297;capa para celular 297;291.75;37;8;2
298;Produto 298;capa para celular 298;260.26;201;8;5
299;Produto 299;capa para celular 299;971.74;343;2;1
300;Produto 300;capa para celular 300;496.01;390;6;4
301;Produto 301;capa para celular 301;385.26;482;6;4
302;Produto 302;capa para celular 302;454.78;335;1;3
303;Produto 303;capa para celular 303;953.25;404;5;4
304;Produto 304;capa para celular 304;203.38;487;5;4
305;Produto 305;capa para celular 305;675.69;482;7;2
306;Produto 306;capa para celular 306;806.91;399;7;2
307;Produto 307;capa para celular 307;75.43;109;10;5
308;Produto 308;capa para celular 308;10.22;323;4;5
309;Produto 309;capa para celular 309;459.7;40;9;3
310;Produto 310;capa para celular 310;326.66;383;9;2
311;Produto 311;capa para celular 311;256.56;226;2;1
312;Produto 312;capa para celular 312;491.24;445;6;2
313;Produto 313;capa para celular 313;729.27;139;2;5
314;Produto 314;capa para celular 314;421.46;450;5;3
315;Produto 315;capa para celular 315;906.25;455;10;2
316;Produto 316;capa para celular 316;977.66;32;2;2
317;Produto 317;capa para celular 317;999.99;85;6;3
318;Produto 318;capa para celular 318;138.84;190;5;5
319;Produto 319;capa para celular 319;702.86;157;6;3
320;Produto 320;capa para celular 320;663.97;457;8;2
321;Produto 321;capa para celular 321;842.65;111;5;4
322;Produto 322;capa para celular 322;818.38;497;4;4
323;Produto 323;capa para celular 323;151.42;266;6;2
324;Produto 324;capa para celular 324;595.83;46;4;4
325;Produto 325;capa para celular 325;707.58;148;5;1
326;Produto 326;capa para celular 326;161.09;61;10;2
327;Produto 327;capa para celular 327;179.27;99;6;1
328;Produto 328;capa para celular 328;958.25;113;5;5
329;Produto 329;capa para celular 329;301.75;40;1;3
330;Produto 330;capa para celular 330;572.97;369;4;4
331;Produto 331;capa para celular 331;101.22;424;5;2
332;Produto 332;capa para celular 332;154.51;483;5;4
333;Produto 333;capa para celular 333;928.43;28;1;5
334;Produto 334;capa para celular 334;91.92;366;4;4
335;Produto 335;capa para celular 335;452.48;189;10;2
336;Produto 336;capa para celular 336;254.76;239;10;1
337;Produto 337;capa para celular 337;803.68;242;3;2
338;Produto 338;capa para celular 338;960.41;16;1;1
339;Produto 339;capa para celular 339;456.38;187;7;4
340;Produto 340;capa para celular 340;386.09;360;1;3
341;Produto 341;capa para celular 341;747.14;462;1;3
342;Produto 342;capa para celular 342;626.0;176;4;3
343;Produto 343;capa para celular 343;875.09;38;10;3
344;Produto 344;capa para celular 344;825.38;419;8;5
345;Produto 345;capa para celular 345;560.54;56;3;1
346;Produto 346;capa para celular 346;531.39;237;10;2
347;Produto 347;capa para celular 347;94.48;56;8;5
348;Produto 348;capa para celular 348;111.55;409;7;3
349;Produto 349;capa para celular 349;786.03;443;8;2
350;Produto 350;capa para celular 350;537.75;160;2;5
351;Produto 351;capa para celular 351;600.82;382;3;1
352;Produto 352;capa para celular 352;854.64;370;8;5
353;Produto 353;capa para celular 353;90.86;82;5;5
354;Produto 354;capa para celular 354;524.53;70;6;2
355;Produto 355;capa para celular 355;109.07;390;9;5
356;Produto 356;capa para celular 356;252.29;431;4;3
357;Produto 357;capa para celular 357;270.58;349;10;2
358;Produto 358;capa para celular 358;457.54;125;8;4
359;Produto 359;capa para celular 359;641.98;230;4;3
360;Produto 360;capa para celular 360;149.83;316;4;2
361;Produto 361;capa para celular 361;983.35;14;8;5
362;Produto 362;capa para celular 362;459.54;156;2;2
363;Produto 363;capa para celular 363;380.94;28;4;3
364;Produto 364;capa para celular 364;376.14;235;3;4
365;Produto 365;capa para celular 365;846.46;370;2;3
366;Produto 366;capa para celular 366;844.96;358;6;1
367;Produto 367;capa para celular 367;803.66;76;8;2
368;Produto 368;capa para celular 368;726.17;35;7;3
369;Produto 369;capa para celular 369;64.04;50;10;3
370;Produto 370;capa para celular 370;250.08;481;10;1
371;Produto 371;capa para celular 371;969.05;359;10;4
372;Produto 372;capa para celular 372;94.42;278;1;3
373;Produto 373;capa para celular 373;664.96;173;7;2
374;Produto 374;capa para celular 374;968.9;472;4;2
375;Produto 375;capa para celular 375;11.47;481;7;2
376;Produto 376;capa para celular 376;351.55;377;10;2
377;Produto 377;capa para celular 377;384.87;141;10;2
378;Produto 378;capa para celular 378;458.17;464;6;3
379;Produto 379;capa para celular 379;964.61;449;8;4
380;Produto 380;capa para celular 380;53.35;182;8;1
381;Produto 381;capa para celular 381;569.08;211;1;3
382;Produto 382;capa para celular 382;818.93;434;3;3
383;Produto 383;capa para celular 383;908.74;164;2;3
384;Produto 384;capa para celular 384;997.07;474;2;2
385;Produto 385;capa para celular 385;791.93;380;6;5
386;Produto 386;capa para celular 386;256.87;99;7;3
387;Produto 387;capa para celular 387;15.26;465;7;1
388;Produto 388;capa para celular 388;205.25;311;7;4
389;Produto 389;capa para celular 389;370.27;183;5;5
390;Produto 390;capa para celular 390;877.59;361;6;1
391;Produto 391;capa para celular 391;625.59;14;10;5
392;Produto 392;capa para celular 392;984.22;126;1;4
393;Produto 393;capa para celular 393;238.73;440;7;4
394;Produto 394;capa para celular 394;265.2;422;9;1
395;Produto 395;capa para celular 395;148.99;77;1;3
396;Produto 396;capa para celular 396;21.83;209;1;4
397;Produto 397;capa para celular 397;612.22;211;6;1
398;Produto 398;capa para celular 398;168.26;269;7;1
399;Produto 399;capa para celular 399;523.34;474;1;3
400;Produto 400;capa para celular 400;474.9;99;8;3
401;Produto 401;capa para celular 401;602.69;370;3;1
402;Produto 402;capa para celular 402;269.18;500;3;2
403;Produto 403;capa para celular 403;346.39;468;10;1
404;Produto 404;capa para celular 404;562.69;177;2;4
405;Produto 405;capa para celular 405;653.54;125;4;1
406;Produto 406;capa para celular 406;558.47;163;2;4
407;Produto 407;capa para celular 407;483.57;32;10;2
408;Produto 408;capa para celular 408;462.76;381;3;2
409;Produto 409;capa para celular 409;833.86;230;5;5
410;Produto 410;capa para celular 410;259.92;415;6;2
411;Produto 411;capa para celular 411;289.92;101;10;1
412;Produto 412;capa para celular 412;164.15;187;2;5
413;Produto 413;capa para celular 413;775.15;111;2;1
414;Produto 414;capa para celular 414;253.1;228;10;3
415;Produto 415;capa para celular 415;609.49;125;1;1
416;Produto 416;capa para celular 416;936.9;428;5;3
417;Produto 417;capa para celular 417;699.03;299;6;1
418;Produto 418;capa para celular 418;506.31;134;9;1
419;Produto 419;capa para celular 419;692.41;184;1;1
420;Produto 420;capa para celular 420;388.18;274;5;4
421;Produto 421;capa para celular 421;877.08;425;3;2
422;Produto 422;capa para celular 422;427.87;155;1;4
423;Produto 423;capa para celular 423;144.95;164;3;3
424;Produto 424;capa para celular 424;257.11;64;6;5
425;Produto 425;capa para celular 425;415.3;368;9;2
426;Produto 426;capa para celular 426;496.36;284;10;3
427;Produto 427;capa para celular 427;343.75;78;2;3
428;Produto 428;capa para celular 428;547.69;287;2;1
429;Produto 429;capa para celular 429;837.61;364;2;1
430;Produto 430;capa para celular 430;83.94;256;7;3
431;Produto 431;capa para celular 431;66.48;186;1;5
432;Produto 432;capa para celular 432;257.19;31;9;3
433;Produto 433;capa para celular 433;561.62;73;8;4
434;Produto 434;capa para celular 434;90.13;156;2;3
435;Produto 435;capa para celular 435;463.53;44;1;4
436;Produto 436;capa para celular 436;935.03;37;6;5
437;Produto 437;capa para celular 437;930.75;314;1;2
438;Produto 438;capa para celular 438;274.49;374;3;5
439;Produto 439;capa para celular 439;459.37;311;6;5
440;Produto 440;capa para celular 440;932.97;332;5;3
441;Produto 441;capa para celular 441;437.24;418;4;2
442;Produto 442;capa para celular 442;78.63;245;8;4
443;Produto 443;capa para celular 443;987.2;265;8;4
444;Produto 444;capa para celular 444;814.44;179;10;2
445;Produto 445;capa para celular 445;898.59;459;10;1
446;Produto 446;capa para celular 446;486.82;392;5;3
447;Produto 447;capa para celular 447;461.18;487;2;2
448;Produto 448;capa para celular 448;279.24;113;9;4
449;Produto 449;capa para celular 449;601.05;421;5;1
450;Produto 450;capa para celular 450;284.37;465;5;3
451;Produto 451;capa para celular 451;372.81;150;8;5
452;Produto 452;capa para celular 452;515.68;368;6;1
453;Produto 453;capa para celular 453;434.08;443;9;2
454;Produto 454;capa para celular 454;465.77;139;1;4
455;Produto 455;capa para celular 455;359.51;497;1;1
456;Produto 456;capa para celular 456;657.8;248;10;1
457;Produto 457;capa para celular 457;571.21;69;3;4
458;Produto 458;capa para celular 458;960.06;250;9;2
459;Produto 459;capa para celular 459;56.19;477;6;5
460;Produto 460;capa para celular 460;235.29;347;2;3
461;Produto 461;capa para celular 461;246.73;198;5;1
462;Produto 462;capa para celular 462;730.41;434;3;3
463;Produto 463;capa para celular 463;912.86;311;6;3
464;Produto 464;capa para celular 464;554.41;373;1;5
465;Produto 465;capa para celular 465;955.94;17;5;1
466;Produto 466;capa para celular 466;896.31;303;1;4
467;Produto 467;capa para celular 467;49.89;459;5;4
468;Produto 468;capa para celular 468;728.73;167;8;2
469;Produto 469;capa para celular 469;897.81;488;2;4
470;Produto 470;capa para celular 470;132.76;412;5;1
471;Produto 471;capa para celular 471;863.56;6;3;5
472;Produto 472;capa para celular 472;580.09;183;3;2
473;Produto 473;capa para celular 473;281.49;180;10;2
474;Produto 474;capa para celular 474;718.28;258;5;4
475;Produto 475;capa para celular 475;590.98;286;4;3
476;Produto 476;capa para celular 476;949.4;262;4;5
477;Produto 477;capa para celular 477;45.08;289;9;1
478;Produto 478;capa para celular 478;404.08;140;4;5
479;Produto 479;capa para celular 479;42.29;265;10;1
480;Produto 480;capa para celular 480;300.6;305;4;1
481;Produto 481;capa para celular 481;303.32;262;2;4
482;Produto 482;capa para celular 482;835.22;143;6;4
483;Produto 483;capa para celular 483;66.66;167;1;1
484;Produto 484;capa para celular 484;724.85;17;1;4
485;Produto 485;capa para celular 485;483.67;126;3;1
486;Produto 486;capa para celular 486;752.85;393;10;3
487;Produto 487;capa para celular 487;463.29;313;7;5
488;Produto 488;capa para celular 488;302.09;7;9;4
489;Produto 489;capa para celular 489;280.24;398;6;2
490;Produto 490;capa para celular 490;853.73;50;6;5
491;Produto 491;capa para celular 491;987.13;5;10;3
492;Produto 492;capa para celular 492;755.18;108;5;4
493;Produto 493;capa para celular 493;891.84;341;7;3
494;Produto 494;capa para celular 494;18.41;326;2;2
495;Produto 495;capa para celular 495;198.27;417;4;3
496;Produto 496;capa para celular 496;811.61;325;2;2
497;Produto 497;capa para celular 497;415.5;228;8;1
498;Produto 498;capa para celular 498;919.5;481;4;2
499;Produto 499;capa para celular 499;301.95;449;3;5
500;Produto 500;capa para celular 500;308.85;263;5;3
501;Produto 501;capa para celular 501;557.05;295;1;5
502;Produto 502;capa para celular 502;336.37;103;4;1
503;Produto 503;capa para celular 503;140.03;258;6;5
504;Produto 504;capa para celular 504;129.74;453;7;2
505;Produto 505;capa para celular 505;355.82;326;5;3
506;Produto 506;capa para celular 506;687.42;196;3;4
507;Produto 507;capa para celular 507;429.28;158;4;5
508;Produto 508;capa para celular 508;289.57;194;3;5
509;Produto 509;capa para celular 509;60.18;48;7;2
510;Produto 510;capa para celular 510;663.27;84;5;2
511;Produto 511;capa para celular 511;912.31;51;6;2
512;Produto 512;capa para celular 512;645.32;5;2;1
513;Produto 513;capa para celular 513;435.74;205;4;4
514;Produto 514;capa para celular 514;331.97;330;2;1
515;Produto 515;capa para celular 515;544.52;346;9;4
516;Produto 516;capa para celular 516;313.12;171;6;5
517;Produto 517;capa para celular 517;351.11;182;8;2
518;Produto 518;capa para celular 518;283.71;260;4;3
519;Produto 519;capa para celular 519;325.31;62;5;2
520;Produto 520;capa para celular 520;804.93;122;2;1
521;Produto 521;capa para celular 521;829.14;5;9;5
522;Produto 522;capa para celular 522;81.82;185;3;1
523;Produto 523;capa para celular 523;47.61;340;1;4
524;Produto 524;capa para celular 524;302.19;345;8;5
525;Produto 525;capa para celular 525;505.22;254;6;1
526;Produto 526;capa para celular 526;687.73;175;1;2
527;Produto 527;capa para celular 527;244.09;392;4;1
528;Produto 528;capa para celular 528;75.72;406;9;4
529;Produto 529;capa para celular 529;237.57;481;10;1
530;Produto 530;capa para celular 530;605.72;182;6;5
531;Produto 531;capa para celular 531;412.46;281;1;5
532;Produto 532;capa para celular 532;314.42;137;5;2
533;Produto 533;capa para celular 533;867.82;382;1;3
534;Produto 534;capa para celular 534;751.59;367;9;4
535;Produto 535;capa para celular 535;980.08;472;10;5
